Generation	Bias	Standardized.fitness	Adjusted.fitness	Hits
6	false	21.525904	0.044393335	2
7	false	20.215063	0.04713632	0
8	false	18.421556	0.051489178	1
9	false	18.421556	0.051489178	1
10	false	18.297674	0.051819716	1
11	false	16.94163	0.0557363	1
12	false	15.323726	0.06126052	0
13	false	15.323726	0.06126052	0
14	false	15.320417	0.06127294	0
15	false	14.475002	0.064620346	3
16	false	14.06491	0.06637942	4
17	false	13.995907	0.066684864	2
18	false	13.594072	0.06852097	2
19	false	13.594072	0.06852097	2
20	false	13.373698	0.06957152	3
21	false	12.207683	0.07571351	5
22	false	11.984179	0.07701681	5
23	false	11.780615	0.078243494	4
24	false	11.661227	0.07898129	4
25	false	11.585273	0.07945795	4
26	false	9.648856	0.0939068	1
27	false	9.823376	0.092392616	3
28	false	9.823376	0.092392616	3
29	false	9.791498	0.09266554	3
30	false	9.65673	0.09383742	1
31	false	9.388211	0.09626296	2
32	false	8.937546	0.100628465	13
33	false	8.937546	0.100628465	13
34	false	8.905137	0.100957714	16
35	false	8.904311	0.10096613	16
36	false	8.208349	0.1085971	12
37	false	8.208349	0.1085971	12
38	false	8.208349	0.1085971	12
39	false	7.581412	0.11653095	13
40	false	7.581412	0.11653095	13
41	false	7.4963145	0.11769808	15
42	false	7.172948	0.12235487	13
43	false	6.8976264	0.12662032	14
44	false	6.484939	0.13360162	15
45	false	5.9981275	0.14289537	15
46	false	5.9247894	0.14440872	16
47	false	5.9247894	0.14440872	16
48	false	5.7718587	0.14766994	15
49	false	5.7718587	0.14766994	15
50	false	4.4170012	0.18460399	11
0	false	24.167782	0.03973334	1
1	false	24.065336	0.039895736	1
2	false	24.065336	0.039895736	1
3	false	23.185402	0.041347254	1
4	false	22.448128	0.04264733	0
5	false	20.906178	0.045649223	1
6	false	18.340462	0.051705074	1
7	false	16.26266	0.057928503	1
8	false	15.335241	0.061217338	1
9	false	15.335241	0.061217338	1
10	false	15.335241	0.061217338	1
11	false	15.335241	0.061217338	1
12	false	13.266335	0.07009509	2
13	false	11.218008	0.0818464	3
14	false	8.005887	0.111038476	9
15	false	8.040694	0.11061098	9
